Principio Activo,Cantidad de Medicamentos,Nombre en Inglés
GRÁNULOS (MICROGRÁNULOS CON CUBIERTA ENTÉRICA ) - PELLETS DE ESOMEPRAZOL MAGNÉSICO TRIHIDRATADO AL 8.5%.EQUIVALENTE A ESOMEPRAZOL BASE,1,N/A
DL- ALFA TOCOFERIL ACETATO,1,N/A
CLORURO DE POTASIOEQUIVALENTE A POTASIO,1,N/A
DICLORHIDRATO DE BETAHISTINA,1,N/A
FENTANIL CITRATO EQUIVALENTE A 0.25 MG DE FENTANIL BASE,1,N/A
IMATINIB MESILATO 480 MG EQUIVALENTE A IMATINIB,1,N/A
QUETIAPINA HEMIFUMARATO 230.30MG EQUIVALENTE A QUETIAPINA BASE,1,N/A
CIPROFLOXACINO CLORHIDRATO EQUIVALENTA CIPROFLOXACINO BASE,1,N/A
ACIDO PARA AMINO BENZOICO,1,N/A
SULFATO DE POTASIO (EQUIVALENTE A 5 MG DE POTASIO),1,N/A
DICLOFENACO DIETIL AMONIO (EQUIVALENTE A 1.0 G DE DICLOFENACO DE SODIO),1,N/A
METILDOPA SESQUIHIDRATO EQUIVALENTE A METILDOPA,1,N/A
PROPIONATO DE FLUTICASONA MICRONIZADO,1,N/A
CLORURO SÓDICO,1,N/A
ACETAMINOFEN (PARACETAMOL) 95% EQUIVALENTE A 500 MG,1,N/A
VITAMINA A ACETATO TIPO 500,1,N/A
FOSFATO TRIBASICO DE CALCIO EQUIVALENTE A 400 MG DE CA,1,N/A
GLICINA (ACIDO AMINOACÉTICO),1,N/A
RIBOFLAVINA 95%,1,N/A
TOXOIDE DIPTHERICO,1,N/A
HIDROCORTISONA SODIO SUCCINATO EQUIVALENTE A HIDROCORTISONA 100MG,1,N/A
INGREDIENTES NUCLEOS GLIBENCLAMIDA 100%,1,N/A
POTASIO COMO POTASIO CLORURO. POTASIO CITRATO Y POTASIO YODURO,1,N/A
CEFRADINA BUFERIZADA ESTERIL USP.( EQUIVALENTE A 1 G. DE CEFRADINA ),1,N/A
CARBAMAZEPINA (MICRONIZADA),1,N/A
ESOMEPRAZOL MAGNESICO TRIHIDRATADO PELLETS 44.42 MG( EQUIVALENTE A ESOMEPRAZOL ),1,N/A
ALFATOCOFERIL ACETATO,1,N/A
TIAMINA DICLORURO,1,N/A
NAPROXENO SODICO 220 MG EQUIVALENTE NAPROXENO,1,N/A
CLORURO DE CROMO (0.975 MG) EQUIVALENTE A CROMO,1,N/A
BETACAROTENO 30% (EQUIVALENTE A 10000 UIVITAMINA A ),1,N/A
PROTEINA (NX6.38),1,N/A
BROMHEXINA CLORHIDRATO BP,1,N/A
ZAFIRLUKAST,1,N/A
ACIDO ACÉTICO USP,1,N/A
IMATINIB MESILATO 119.5 MGEQUIVALENTE A IMATINIB,1,N/A
OMEPRAZOL SODIO EQUIVALENTE A 40 MG DE OMEPRAZOL,1,N/A
GINKGO BILOBA EXTRACTO ESTANDARIZADO AL 24%(EQUIVALENTE A 9.6 MG DE GLICÓSIDOS FLAVONOIDES),1,N/A
CLORANFENICOL LEVO,1,N/A
MEROPENEM TRIHIDRATADO EQUIVALENTE A MEROPENEM ANHIDRO,1,N/A
SIMETICONA POLVO 69% EQUVALENTE A SIMETICONA,1,N/A
MOMETASONA FUROATO (1),1,N/A
ISOSORBIDE DINITRATO,1,N/A
MOLIBDENO (MOLIBDATO SÓDICO. 2H2O),1,N/A
LEVOCARNITINA,1,N/A
FLORURO DE SODIO (1433 PPM F),1,N/A
PRASUGREL CLORHIDRATO 5.49 MG EQUIVALE A PRASUGREL BASE,1,N/A
ACETATO DE ZINC DIHIDRATO MICRONIZADO,1,N/A
RIBOFLAVINA 5-FOSFATO (VITAMINA B2),1,N/A
CARBOXIMETILCELULOSA SÓDICA (TIPO 7H8SFPH),1,N/A
CLORANFENICOL PALMITATO EQUIVALENTE A CLORANFENICOL,1,N/A
CIPROFLOXACINOLACTATO MONOHIDRATO. EQUIVAKENTE A CIPROFLOXACINO BASE,1,N/A
CAFEÍNA ANHIDRA POLVO,1,N/A
CULTIVO DE BACTERIAS ACIDO LÁCTICAS ( LACTOBACILLOS Y BIFIDOBACTERIAS),1,N/A
TEOFILINA ANHIDRA 205.69 MG + ETILENDIAMINA 34.29 MG,1,N/A
TAMSULOSINA CLORHIDRATO PELLETS 300 MG EQUIVALENTES A TAMSULOSINA CLORHIDRATO 0.400 MG,1,N/A
PANCREATINA EQUIVALENTE A ACTIVIDAD LIPOLITICA 10000 UI. ACTIVIDAD AMILOLITICA 9000 UI Y ACTIVIDAD PROTEOLITICA 500 UI,1,N/A
SILDENAFIL CITRATO 142.0 MG( EQUIVALENTE A SILDENAFIL BASE),1,N/A
APROTININA U.I.C.,1,N/A
CLORHIDRATO DE CIPROFLOXACINA MONOHIDRATO (EQUIVALENTE A 500 MG DE CIPROFLOXACINA BASE),1,N/A
HOMATROPINA BROMHIDRATO,1,N/A
PERINDOPRIL ARGININA EQUIVALENTE A PERINDOPRIL,1,N/A
OXIDO DE MAGNESIO EQUIVALENTE A MG,1,N/A
PANCREATINA EQUIVALENTE A 325.000 UNIDADES DE LIPASA. 275.000 UNIDADES DE AMILASA Y 20.000 UNIDADES DE PROTEASA SEGUN FIP.,1,N/A
CEFTRIAXONA( EN FORMA DECEFTRIAXONA SODICA ESTERIL. POTENCIAL DEL 1000 5 DEL ACTIVO ),1,N/A
TIAMFENICOL BASE,1,N/A
PENICILINA V POTÁSICA EQUIVALENTE A PENICILINA V,1,N/A
VITAMINA D3 CRISTALES,1,N/A
AGUA DESTILADA,1,N/A
DORIPENEM,1,N/A
PRAZOSINA CLORHIDRATO 1.100 MG EQUIVALENTE A PRAZOSINA BASE,1,N/A
AMIKACINA SULFATO (EQUIVALENTE A 500MG AMIKACINA BASE),1,N/A
AMPICILINA SÓDICA ESTÉRIL (EQUIVALENTE A 1G DE AMPICILINA BASE),1,N/A
HISTIDINA CLORHIDRATO MONOHIDRATO,1,N/A
ACIDO ASPARTICO: 68.43,1,N/A
INMUNOGLOBULINA DE RABIA HUMANA 200-360 MG DE PROTEINAS QUE CONTIENE POR LO MENOS,1,N/A
CLOPIDOGREL BISULFATO 97.85 MG EQUIVALENTE A CLOPIDOGREL,1,N/A
AGUA ESTERIL PARA INYECCIÒN,1,N/A
GLUCOSAMINA SULFATO CRISTALINAEQUIVALENTE A GLUCOSAMINA SULFATO,1,N/A
COMPLEJO DE HIDRÓXIDO FÉRRICO Y POLIMALTOSA (AMILOFER) EQUIVALENTE A HIERRO ELEMENTAL,1,N/A
B/WISCONSIN/1/2010 - CEPA ANÁLOGA B/HUBEI-WUJIAGANG/158/2009 (NYMC BX-39),1,N/A
ATORVASTATINA CALCICA AMORFA EQUIVALENTE AATORVASTATINA BASE,1,N/A
CEFALOTINA SODICA ESTERIL EQUIVALENTE A CEFALOTINA,1,N/A
GENTAMICINAC SULFATO EQUIVALENTE A GENTAMICINA BASE A 80 MG,1,N/A
RIBOFLAVINA SODIO 5 FOSFATO,1,N/A
FOSFATO DE CLINDAMICINA EQUIVALENTE A 600 MG DE CLINDAMICINA,1,N/A
ACEITE DE HIGADO DE BACALAO (EQUIVALENTE:VIT.A=1361 UI./G Y VIT.D=90 UI./G),1,N/A
DOXICICLINA HICLATO (EQUIVALENTE A100MG DE DOXICICLINA),1,N/A
VITAMINA C* GRANULOS 575 MG EQUIVALENTE A VITAMINA C,1,N/A
MIDAZOLAM CLORHIDRATO EQUIVALENTE A MIDAZOLAM 15 MG,1,N/A
SOMATROPINA 24UI,1,N/A
EXTRACTO FLUIDO DEBOLDO,1,N/A
IMATINIB MESILATO 119.5 MG (EQUIVALENTE A 100MG DE IMATINIB),1,N/A
VERAPAMILO CLORHIDRATO EN FORMA DE GRANULADO DE LIBERACIÓN PROLONGADA*,1,N/A
QUETIAPINA FUMARATO,1,N/A
AMOXICILINA TRIHIDRATO ( GRADO COMPACTADO) EQUIVALENTE A AMOXICILINA.,1,N/A
CLORURO DE CETILPRIRIDINIO,1,N/A
SENNAX SPRAY DRYED EQUIVALENTE A SENOSIDOS A Y,1,N/A
CEFTRIAXONA HEMIHEPTAHIDRATADA DISÓDICA1.193 EQUIVALENTE A CEFTRIAXONA,1,N/A
YODURO DE POTASIO (EQUIVALENTE A 150 MCG DE IODO),1,N/A
CITRATO DE CALCIO TETRAHIDRATADO 950 MGEQUIVALENTE A CALCIO,1,N/A
GEMCITABINA CLORHIDRATO (1.13868 G) EQUIVALENTE A GEMCITABINA BASE,1,N/A
NELFINAVIR (EN FORMA DE NELFINAVIR MESILATO ANHIDRO 292. 25MG),1,N/A
AMPICILINA SÓDICA ESTERIL EQUIVALENTEA AMPICILINA BASE,1,N/A
SALMETEROL HIDROXINAFTOATO,1,N/A
AMOXICILINA TRIHIDRATO 588.237 MG EQUIVALENTE A AMOXICILINA,1,N/A
METOPROLOL TARTRATO EQUIVALENTE A METOPROLOL,1,N/A
AMOXICILINA TRIHIDRATO 1006.25 MG EQUIVALENTE A AMOXICILINA,1,N/A
AMPICILINA TRIHIDRATO (EQUIVALENTE A 500 MG DE AMPICILINA ACTIVA),1,N/A
FOSFATO DE CALCIO TRIBASICO NF ( EQUIVALENTE A 600 MG. DE CALCIO),1,N/A
RIBOFLAVINA (B2),1,N/A
FOSFATO DE CALCIO DIBASICO (EQUIVALENTE A 2.5G DE CALCIO ELEMENTAL),1,N/A
ISONIACIDA BPC,1,N/A
FIMBRIAS (AGLUTINOGENOS (AGG2 + 3)),1,N/A
LIDOCAINA CLORHIDRATO MONOHIDRATO 21.33 MGEQUIVALENTE ALIDOCAINA CLORHIDRATO,1,N/A
ÁCIDO AMINOACETICO (GLICINA),1,N/A
GLUCOSAMINE HYDROCHLORIDE (HEXOSAMINE).CRYSTALLINE BOVINE SERUM ALBUMIN ( PROTEIN).,1,N/A
CARBONATO DE CALCIO 37 % APORTANDO 250 MG DE CALCIO,1,N/A
ASCORBATO DE SODIO EQUIVALENTES A VITAMINA C 500 MG,1,N/A
RHO (D) GLOBULINA HUMANA,1,N/A
SODIO SELENITO,1,N/A
OXIBENZONA,1,N/A
PANTOTENATODECALCIOEQUIVALENTEAACIDO PANTOTENICO,1,N/A
LINCOMICINA CLORHIDRATO MONOHIDRATO (EQUIVALENTE A 300 MG. DE LINCOMICINA BASE),1,N/A
OXPENTIFILINA,1,N/A
L-ASPARAGINA MONOHIDRATO.(EQUIVALENTE A L-ASPARAGINA 3.27),1,N/A
DOXAZOSINA MESILATO (EQUIVALENTE A DOXAZOSINA4.0MG),1,N/A
METOCLOPRAMIDA CLORHIDRATO MONOHIDRATO EQUIVALENTE A METOCLOPRAMIDA BASE ANHIDRA,1,N/A
N-ACETIL-L-CISTEINA (EQUIVALENTE A 0.4 MG/ML DE L-CISTEINA),1,N/A
HEPERINA SODICA,1,N/A
SIMETICONA (***),1,N/A
CLORHIDRATO DE PIOGLITAZONA CLORHIDRATO 16.53 MG COMO PIOGLITAZONA BASE,1,N/A
CALORIAS (150 KILOCALORIAS EN 100 ML),1,N/A
DAPOXETINA CLORHIDRATO 33.6 MG (EQUIVALENTE A DAPOXETINA BASE),1,N/A
PAMOATODE PIRANTEL EQUIVALENTE A 250 MG DE PIRANTEL BASE.,1,N/A
NISOLDIPINO MICROFINO,1,N/A
FOSFATO DIHIDROGENO POTASICO,1,N/A
AMIKACINA SULFATO 667.50000 MG ( EQUIVALENTE ADE AMIKACINA BASE),1,N/A
TETRABORATO DE SODIO DECAHIDRATO EQUIVALENTE ABORO,1,N/A
PANCREATINA (EQUIVALENTE A LIPASA 10000. AMYLASA 9000 Y PROTEASAS 500 U. PH.EUR),1,N/A
SELENITO DESODIOPENTAHIDRATADOEQUIVALENTEASELENIO,1,N/A
DL- ALFATOCOFERIL ACETATO (VITAMINA E SINTETICA),1,N/A
ATORVASTATINA CALCICA 82.87 EQUIVALENTE A 80.00 ATORVASTATINA BASE,1,N/A
VITAMINA A(1.7 MUI/G),1,N/A
VITAMINA E SINTETICA/ DL-ALFATOCOFERIL ACETATO (EQUIV. A 8.33UI/5ML DE VITAMINA E),1,N/A
PENICILINAGPROCAÍNICAEQUIVALENTE A PENICILINA G,1,N/A
OXIBUTININOCLORURO,1,N/A
ÁCIDO CLORHÍDRICO (25%),1,N/A
SOLUCIÓN DE BREA DE HULLA,1,N/A
VIRUS DE LA INFLUENZA A/NEW JERSEY/76,1,N/A
BETACAROTENO-1500 UI-,1,N/A
ROJO NO. 40 FD&C CI 16035,1,N/A
CLORHEXIDINA DIGLUCONATO (SOLUCION AL 20%),1,N/A
ALCOHOL ETILICO GRADO A 74%EN VOLUMEN,1,N/A
INDINAVIR SULFATO ETANOLATO EQUIVALENTE A INDINAVIR,1,N/A
VITAMINA B5 (ACIDO PANTOTENICO),1,N/A
FOSFATO DIBASICO DE CALCIO EQUIVALENTE A 39 MG DE CALCIO ELEMENTAL,1,N/A
EXTRACTO ESTANDARIZADO DE GINGKO BILOBA AL 24 % (EQUIVALENTEA 9.6MG DE FLAVONGLUCOSIDOS),1,N/A
TIAMINA MONONITRATO 98 %,1,N/A
ETINILESTRADIOL (COMPRIMIDO BLANCO),1,N/A
PIRIDOXINA CLORHIDRATO 98 %,1,N/A
RIVOFLAVINA NATURAL EQUIVALENTE A VITAMINA B2,1,N/A
DEXAMETASONA SODIO FOSFATO. EQUIVALENTE A DEXAMETASONA FOSFATO,1,N/A
R-HFSH (FOLITROPINA ALFA),1,N/A
AMOXICILINA TRIHIDRATADA COMPACTADA EQUIVALENTE A AMOXICILINA BASE,1,N/A
RANITIDINA CLORHIDRATO EQUIVALENTE A RANITIDINA BASE 150 MG,1,N/A
PAROXETINA CLORHIDRATO (EQUIVALENTE A 20 MG DE PAROXETINA),1,N/A
ACETATO BÁSICO DE ALUMINIO 0.047G.EQUIVALENTE A ACETATO DE ALUMINIO,1,N/A
VITAMINA D3 (COLECALCIFEROL) EQUIVALENTE A VITAMINA D,1,N/A
LACTOBASILLUS ACIDOPHILUS LIOFILIZADO (EQUIVALENTE A 5 MILLONES DE COLONIAS DE CEPA LÁCTEO),1,N/A
CICLOPIROXOLAMINA,1,N/A
ACICLOVIR USP (EQUIVALENTE A ACICLOVIR 200.00MG EN BASE SECA),1,N/A
AMOXICILINA TRIHIDRATADA COMPACTADA (CON ACTIVIDAD 845 MCG /MG) EQUIVALE A 500 MG DE AMOXICILINA BASE,1,N/A
DL-ALFATOCOFERIL ACETATO (50%) 40 MG EQUIVALENTES A,1,N/A
GRANISETRON HCL (1.12MG) EQUIVALENTE A GRANISETRON BASE,1,N/A
CIANOCOBALAMINA (VIT B12),1,N/A
PSEUDOEFEDRINACLORHIDRATO,1,N/A
CROMO COMO CROMO CLORURO,1,N/A
ENOXOLONA (ACIDO GLICIRRETINICO),1,N/A
SERTRALINA CLORHIDRATO. EQUIVALENTE A SERTRALINA BASE,1,N/A
PICOLINATO DE CROMO,1,N/A
BETACAROTENO 333.3UI/G.(SUMINISTRANDO 9999UI.DE VITAMINA A POR TABLETA),1,N/A
ACIDO HIPOCLOROSO,1,N/A
VALERATO DE BETAMETASONA EQUIVALENTE A BETAMETASONA 1.00 MG,1,N/A
SIMETICONA (DIMETILPOLISILOXANO) SAG 47,1,N/A
ACIDO ASCORBICO AL 90%222.23 MG Y ASCORBATO DE SODIO 336 MG EQUIVALENTE A ACIDO ASCORBICO,1,N/A
GLUCOSAMINA SULFATO POLICRISTALINO 1884.00MG EQUIVALENTE A GLUCOSAMINA SULFATO,1,N/A
CONTENIDO DE ANTICUERPOS CONTRA VIRUS VARICELA ZOSTER,1,N/A
NISTATINA 6430 UI/ MG 1.58 G EQUIVALENTE A NISTATINA 10.000.000 UI,1,N/A
BETAMETASONA BASE COMO 17 VALEATO,1,N/A
CIPROFLOXACINA CLORHIDRATO (595.09) EQUIVALENTE A CIPROFLOXACINA BASE,1,N/A
TOXOIDETETANICO SLF. TOXOIDE DIFTERICO,1,N/A
EXTRACTO DE CASTAÑO DE INDIAS CON DEXTRINA (COMO MICROGRANULOS 530.612MG) EQUIVALENTE A ESCINA 50 MG,1,N/A
ERITROMICINA ETILSUCCINATO EQUIVALENTE A ERITROMICINABASE,1,N/A
MISOPROSTOL AL 1%,1,N/A
INSULINA LISPRO,1,N/A
EPINEFRINA BITARTRATO EQUIVALENTE A EPINEFRINA BASE,1,N/A
CLORHEXIDINA DIGLUCONATO AL 20% EQUIVALENTE A CLORHEXIDINA DIGLUCONATO,1,N/A
FOSFATO TRIBASICO DE CALCIO,1,N/A
MENADIONA SODIO BISULFITO,1,N/A
CITRATO TRISÓDICO DIHIDRATADO,1,N/A
CIPROFLOXACINA CLORHIDRATO MONOHIDRATO 603.00 MG EQUIVALENTE A CIPROFLOXACINA BASE,1,N/A
VITAMINA D3 100.000 U.I/G(EQUIVALENTE A 200 U.I),1,N/A
IBUPROFENO 66% C D EQUIVALENTE,1,N/A
ACIDOS GRASOS POLIINSATURADOS OMEGA 3 AL 84%. EQUIVALENTE A 465 MG DE ACIDO EICOSAPENTAENOICO + 375 MG DE ACIDOS DOCOSAHEXAENOICO,1,N/A
ANATOXINA TÉTANICAPURIFICADA,1,N/A
HIDROCLORURO DE SERTRALINA 55.95MG EQUIVALENTE A SERTRALINA,1,N/A
TERBINAFINA CLORHIDRATO EQUIVALENTE A TERBINAFINA,1,N/A
INDAPAMIDA.,1,N/A
MONTELUKAST SÓDICO 5.21 MGEQUIVALENTE ENSUFORMA ÁCIDOLIBRE,1,N/A
DICLOFENACO DIETILAMINA EQUIVALENTE A 1 G DE DICLOFENACO SODICO,1,N/A
PSYLLIUM HUSK (CASCARA DE SEMILLA DE PSYLLIUM),1,N/A
ITRACONAZOL (MICROESFERAS),1,N/A
FORMULACIÓN CON BUFFER DE FOSFATOS:BNT162B2 (ARN MENSAJERO DE NUCLEÓSIDOS MODIFICADOS QUE CODIFICA LA GLICOPROTEÍNA DE ESPIGA (S) DEL VIRUS SARS-COV-2)(DESPUES DE LA DILUCIÓN. CADA DOSIS DE 0.3ML CONTIENE 30MCG),1,N/A
HIDROXIDO DE MAGNESIO POLVO 97.31% 4.12G EQUIVALENTE A 4.0 G HIDROXIDO DE MAGNESIO,1,N/A
UROQUINASA,1,N/A
GLUCOSA MONOHIDRATADA 4.25 G. EQUIVALENTE A GLUCOSA ANHIDRA,1,N/A
ONDASENTRON CLORHIDRATO DIHIDRATO (EQUIVALENTE A ONDASENTRON 4 MG),1,N/A
TRIMETAZIDINA CLORHIDRATO,1,N/A
COLAGENO (EXTRAIDO DE BOVINO) EQUIVALENTE A 210 MG DE SUSTANCIA ANHIDRA,1,N/A
LAURILETER SULFATO DE SODIO 100%,1,N/A
BICARBONATO DE SODIO MEDIUM G,1,N/A
EXTRACTOFLUIDODE CASCARASAGRADA (EQUIVALENTE A 2.18 GEXTRACTO BLANDODECASCARASAGRADA),1,N/A
DACTINOMICINA (ACTINOMICINA D),1,N/A
COMPLEJO YODO,1,N/A
ISOSORBIDE DINITRATO DILUIDO EN LACTOSA (40%:60% W/W) 25.00 MG.EQUIVALENTE A ISOSORBIDE DINITRATO 10 MG,1,N/A
TREMETOPRIM,1,N/A
L-ÁCIDO ASPARTICO,1,N/A
ROPIRINOL CLORHIDRATO EQUIVALENTE A ROPIRINOL,1,N/A
SERENOA REPENS: EXTRACTO ESTANDARIZADO DE SAW PALMETTO BERRY OIL (85%-95%) EQUIVALENTE A 136.152MG DE ACIDOS GRASOS LIBRES,1,N/A
QUELATO DE MOLIBDENO EQUIVALENTE A MOLIBDENO,1,N/A
PANTOTENATO DE CALCIO AL 97%,1,N/A
GENTAMICINA SULFATO COMO GENTAMICINA BASE,1,N/A
BAMBUTEROL HCL,1,N/A
TIAMINA MONONITRATO 98% (VITAMINA B1),1,N/A
MONONITRATO DE TIAMINA (VITAMINA B1),1,N/A
GEMFIBROZILO 600 MG,1,N/A
INMUNOGLOBULINA ANTITIMOCITICA EQUINA,1,N/A
BETACAROTENO75MGSUMINISTRANDO,1,N/A
FOLIC ACID,1,N/A
AMOXICILINA TRIHIDRATO (EQUIVALENTE A 2.5 DE AMOXICILINA ANHIDRA ),1,N/A
PRB (POLIRIBOSIL RIBITOL FOSFATO) CONJUGADO A APROXIMADAMENTE 26 MICROGRAMOS DE ANATOXINA TETANICA,1,N/A
SALES BILIARES,1,N/A
MICROGRANULOS DE TAMSULOSINA DELIBERACION PROLONGADA AL 0.12%QUE CONTIENEN TAMSULOSINA CLORHIDRATO EQUIVALENTE A,1,N/A
AMPICILINA TRIHIDRATO COMPACTADA EQUIVALENTE A AMPICILINA,1,N/A
LACTASA 36000 UI/G (300 MG.)EQUIVALENTES A LACTASA,1,N/A
ALENDRONATO SÓDICO TRIHIDRATO EQUIVALENTE A ALENDRONATO,1,N/A
SULFATIAZOL,1,N/A
CLORURO DE MAGNESIO. 6H2O USP,1,N/A
VALACICLOVIR HIDROCLORURO 1112 MG EQUIVALENTE A VALACICLOVIR,1,N/A
CUBIERTA: GELATINA FARMACEUTICA,1,N/A
CALCITONINA SALMON BP,1,N/A
AMPICILINA TRIHIDRATO 1.154G EQUIVALENTE A AMPICILINA,1,N/A
VITAMINA C ( ACIDO ASCORBICO),1,N/A
ACIDO SALICILICOUSP,1,N/A
ACETATO DE HIDROCORTISONA,1,N/A
VIUS DEL SARAMPION VIVO NO MENOS,1,N/A
CASPOFUNGINA ACETATO 77.690 MG EQUIVALENTE A CASPOFUNGINA,1,N/A
APROTINA SINTETICA-COMPONENTE 1-,1,N/A
CLORHIDRATO DE RUFLOXACINO,1,N/A
DL- ALFATOCOFERIL ACETATO DE VITAMINA E SINTÉTICA EQUIVALENTE A VITAMINA E,1,N/A
CORIOGONADOTROPINA ALFA,1,N/A
SACARIDOS DEL SEROTIPO 6B,1,N/A
BUTIL-METOXIDIBENZOILMETANO (PARSOL 1789),1,N/A
GLUCOSAMINA SULFATO SÓDICA 628.0700 EQUIVALENTE GLUCOSAMINA SULFATO,1,N/A
GINKGO BILOBA AL 24 %(EQUIVALENTE A GLICOSIDOS FLAVONOICOS 14.4 MG),1,N/A
ALCOHOL ETILICO (96%),1,N/A
CLORHIDRATO DE XILOMETAZOLINA,1,N/A
SOMATROPINA (HORMONA DE CRECIMIENTO HUMANO RECOMBINANTE),1,N/A
SAQUINAVIR (COMO SAQUINAVIR MESILATO),1,N/A
VITAMINA B2 ( RIBOFLAVINA- FOSFATOSODICO ),1,N/A
BIOTINA1%,1,N/A
IBUPROFE POLVO USP,1,N/A
ETAMSILATO,1,N/A
CALCIO COMO (FOSFATO DIBASICO CALCICO Y CALCIO CARBONATO),1,N/A
YODURO DE POTASIO USP (EQUIVALENTE A 0.15 MG DE YODURO),1,N/A
CEFALEXINA MONOHIDRATO536.4 MGEQUIVALENTE A CEFALEXINA,1,N/A
COMPARTMENTO 2: L -ALANINA,1,N/A
AMINOACIDOS CON ELECTROLITOS AL 10% : ISOLEUCINA,1,N/A
FILGRASTIM (FACTOR ESTIMULADOR DE COLONIAS DE GRANULOCITOS. G-CSF (30 MUI)).........,1,N/A
LIDOCAINA CLORHIDRATOH20 EQUIVALENTA A LIDOCAINA CLORHIDRATO,1,N/A
TAMSULOSINA CLORHIDRATO. EQUIVALENTES A 0.2 MG DE TAMSULOSINA,1,N/A
PIMECROLIMUS,1,N/A
METFORMINA HCL GRANULADO CON UNA POTENCIA 95% (526.32 MG) EQUIVALENTE A METFORMINA CLORHIDRATO,1,N/A
GLIMEPIRIDE IHT,1,N/A
AMPICILINA ESTERIL(EN FORMA DE SAL SODICA QUE EQUIV A BASE),1,N/A
PROPINOX CLORHIDRATO (PARGEVERINA),1,N/A
EXTRACTO DE HIERBA DE SEN JOHN,1,N/A
SULFATO CUPRICO 0.5 MG EQUIVALENTE A COBRE,1,N/A
MOLIBDATO DE SODIO EQUIVALENTE AMOLIBDENO,1,N/A
**OMEPRAZOL PELLETS8.5% 235 .295 MG EQUIVALENTE A OMEPRAZOL,1,N/A
BECLOMETASONADIPROPIONATO (BDP),1,N/A
YODURO DE SODIO,1,N/A
AMPICILINA TRIIHIDRATO 591.70 MGEQUIVALENTE A AMPICILINA BASE,1,N/A
SULFATO DE SALBUTAMOL 4.8 MG EQUIVALENTE A SALBUTAMOL,1,N/A
QUINAPRIL CLORHIDRATO 22 MG EQUIVALENTE A QUINAPRIL BASE,1,N/A
ATORVASTATINA CALCICA EQUIVALENTE AATORVASTATINA,1,N/A
SILDENAFILO CITRATO 70.24 MG( EQUIVALENTE A SILDENAFILO BASE,1,N/A
DIMENHIDRINATO/ EUDRAGIT S-100,1,N/A
COPRECIPITADO DE HIDROXIDO DE ALUMINIO,1,N/A
NEVIRAPINA HEMIHIDRATO EQUIVALENTES A NEVIRAPINA,1,N/A
AMOXICILINA TRIHIDRATADA PRECOMPACTADA 100% EQUIVALENTE A 500 MG DE AMOXICILINA BASE,1,N/A
AMOXICILINA TRIHIDRATO 1.16 EQUIVALENTE A AMOXICILINA BASE DE,1,N/A
CARBONATO DE CALCIO 1500 MG EQUIVALENTE A CALCIO ELEMENTAL 600 MG,1,N/A
ACETAMINOFEN (PARECTAMOL9,1,N/A
PEROXIDO DE BENZOILO USP,1,N/A
ELOTUZUMAB,1,N/A
VITAMINA E (ACETATO DE DL ALFA TOCOFERILO) EQUIVALENTE A 400 U.I. DE VITAMINA E,1,N/A
CLORUROS,1,N/A
TEOFILINA EN MICROGRANULOSDE LIBERACION PROLONGADA EQUIVALENTE A TEOFILINA ANHIDRA,1,N/A
ACIDO FOLICO*,1,N/A
BETAMETASONA FOSFATO DISÓDICO 10.6 MG EQUIVALENTE A BETAMETASONA BASE,1,N/A
CITRATODE HIERROAMONIACAL (EQUIVALENTEA0.160 G DE HIERROELEMENTAL),1,N/A
TOCOFEROL ALFA-ACETATO EQUIVALENTE A VITAMINA E,1,N/A
COMPARTIMENTO DOS: GLUCOSA MONOHIDRATO EQUIVALENTE A GLUCOSA,1,N/A
SULFATO DE GENTAMICINA194.28 MG -(EQUIVALENTE A GENTAMICINA BASE),1,N/A
OMEPRAZOLMICROGRANULOS,1,N/A
DICLOXACILINA SÓDICA MONOHIDRATO EQUIVALENTE A DICLOXACILINA BASE,1,N/A
IMIPENEN Y CILASTATINA PARA INYECCION (IMIPENEM 500 MG + CILASTATINA 500 MG),1,N/A
NEOMICINA SULFATO (77 UI/MG)EQUIVALENTE A NEOMICINA BASE,1,N/A
GENTAMICINA SULFATO USP EQUIVALENTE EN BASE SECA A: 160 MG,1,N/A
BIFIDOBACTERIUM LONGUM RO52 10% (DE LOS 59 MG ITEM1),1,N/A
IBUPROFENO LISINATO 342 MG EQUIVALENTE A IBUPROFENO,1,N/A
HIERRO AMINONIQUELADO EQUIVALENTE A HIERRO ELEMENTAL,1,N/A
DL-ALFA- TOCOFEROL ACETATO (VITAMINA E),1,N/A
LISINOPRIL DIHIDRATO (EQUIVALENTE A 20MG DE LISINOPRIL),1,N/A
BUTOCONAZOL NITRATO,1,N/A
EXTRACTO ACUOSO DE TRITICUM VULGARE (RESIDUO SECO EQUIVALENTE A 200MG/100ML),1,N/A
HIERRO (COMO GLUCONATO FERROSO),1,N/A
CITRATO DE CALCIO TETRAHIDRATADO 1500MG EQUIVALENTE A CALCIO,1,N/A
POLIMIXINA B. SULFATO USP,1,N/A
KETOROLACOTROMETAMINA,1,N/A
CLOPIDOGREL SULFATO EQUIVALENTE A CLOPIDOGREL,1,N/A
HIERRO (FUMARATO),1,N/A
EXTRACTO SECO DE ISOFLAVONAS (AL40% P/P)EQUIVALENTE A 83.4 MG DE ISOFLAVONAS,1,N/A
PSEUDODFEDRINA CLORHIDRATO,1,N/A
FOLINATO DE CALCIO ANHIDRO (EQUIVALENTE A 0.025 G DE ACIDO FOLINICO),1,N/A
