Principio Activo,Cantidad de Medicamentos,Nombre en Inglés
ROFECOXIB,20,N/A
L-PROLINA,20,N/A
OLANZAPINA,20,N/A
CONDROITINA SULFATO,20,N/A
L-LEUCINA,20,N/A
LOVASTATINA,20,N/A
RIFAMPICINA,19,N/A
FOSFORO,19,N/A
BECLOMETASONA DIPROPIONATO,19,N/A
CLORURO,19,N/A
COLINA,19,N/A
AMOXICILINA TRIHIDRATO EQUIVALENTE A AMOXICILINA,19,N/A
CLORURO DE AMONIO,19,N/A
DEXAMETASONA,18,N/A
CARBOHIDRATOS,18,N/A
L-TIROSINA,18,N/A
L-FENILALANINA,18,N/A
PIRIDOXINA CLORHIDRATO (VITAMINA B6),18,N/A
SODIO,18,N/A
L-METIONINA,18,N/A
L-TREONINA,18,N/A
L-ISOLEUCINA,18,N/A
N-BUTIL BROMURO DE HIOSCINA,18,N/A
PROPOFOL,18,N/A
TIOCOLCHICOSIDO,18,N/A
RIBOFLAVINA (VITAMINA B2),18,N/A
IRBESARTAN,18,N/A
NORFLOXACINO,18,N/A
L-HISTIDINA,18,N/A
AMIKACINA SULFATO EQUIVALENTE A AMIKACINA BASE,18,N/A
L-VALINA,18,N/A
N-ACETILCISTEINA,17,N/A
L-ARGININA,17,N/A
DIDANOSINA,17,N/A
CEFRADINA,17,N/A
NORFLOXACINA,17,N/A
L-SERINA,17,N/A
NISTATINA,17,N/A
PROPRANOLOL CLORHIDRATO,17,N/A
CLORHIDRATO DE PIRIDOXINA,16,N/A
DIPIRONA,16,N/A
CLORHIDRATO DE FENILEFRINA,16,N/A
IBUPROFEN,16,N/A
CARBONATO DE CALCIO EQUIVALENTE A CALCIO ELEMENTAL,16,N/A
ACIDO FUSIDICO,16,N/A
HALOPERIDOL,16,N/A
ETINIL ESTRADIOL,16,N/A
METOTREXATO,16,N/A
NEOMICINA SULFATO EQUIVALENTE A NEOMICINA BASE,16,N/A
ACETILCISTEINA,16,N/A
ESTEARATO DE MAGNESIO,16,N/A
NEOMICINA SULFATO,16,N/A
DOXORUBICINA CLORHIDRATO,16,N/A
CLENBUTEROL CLORHIDRATO,16,N/A
L-TRIPTOFANO,16,N/A
PANCREATINA,16,N/A
NIMODIPINO,15,N/A
AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO BASE,15,N/A
NAPROXENO SODICO,15,N/A
L-ALANINA,15,N/A
GESTODENO,15,N/A
TERBUTALINA SULFATO,15,N/A
VITAMINA B1 (TIAMINA CLORHIDRATO),15,N/A
PIPERAZINA HEXAHIDRATO,15,N/A
OLMESARTAN MEDOXOMIL,15,N/A
GRASA,15,N/A
CLORURO DE POTASIO USP,15,N/A
CLINDAMICINA FOSFATO EQUIVALENTE A CLINDAMICINA BASE,15,N/A
MEMANTINA CLORHIDRATO,14,N/A
GLICERINA,14,N/A
AMOXICILINA TRIHIDRATO EQUIVALENTE A AMOXICILINA ANHIDRA,14,N/A
LEVETIRACETAM,14,N/A
TELMISARTAN,14,N/A
YODURO DE POTASIO,14,N/A
ACETATO DE ALUMINIO,14,N/A
ISOTRETINOINA,14,N/A
ACETAMINOFÉN,14,N/A
LOPERAMIDA CLORHIDRATO,14,N/A
TOPIRAMATO,14,N/A
CILOSTAZOL,14,N/A
GABAPENTINA,14,N/A
DIFENHIDRAMINA CLORHIDRATO,14,N/A
CARBONATO DE CALCIO EQUIVALENTE A CALCIO,13,N/A
DIPIRONA SODICA,13,N/A
CLORURO DE CALCIO,13,N/A
ALGINATO DE SODIO,13,N/A
HIDROXICINA CLORHIDRATO,13,N/A
ACIDO BORICO,13,N/A
DEXTROSA MONOHIDRATO,13,N/A
ESTRADIOL,13,N/A
YODOPOVIDONA,13,N/A
PERMETRINA,13,N/A
ESZOPICLONA,13,N/A
CLORURO DE CALCIO DIHIDRATO,13,N/A
